subset,n_attempts,n_seasons,actual_makes,expected_makes,excess_makes,excess_per_season
all distances,6609,6,5629,5427.002866794263,201.99713320573665,33.66618886762277
45+ yards,2342,6,1674,1525.869561609841,148.13043839015904,24.68840639835984
under 45 yards,4267,6,3955,3901.133305184422,53.86669481557783,8.977782469262971
