band,share_test,share_train,n_test,n_train,diff_pp
<30,0.2199022656597068,0.23814133591481124,495,2214,-1.8239070255104433
30-39,0.28609506885828523,0.28546843067656236,644,2654,0.06266381817228717
40-49,0.30919591292758775,0.2921372485748091,696,2716,1.705866435277864
50-59,0.17636605952909817,0.17597074325051093,397,1636,0.03953162785872433
60+,0.008440693025322079,0.008282241583306442,19,77,0.015845144201563632
