era2,model,n,brier,logloss,auc
post-2020,M0 (distance only),1275,0.09365662697187645,0.31126366974908504,0.7773296646319907
post-2020,M1 (full GLMM),1275,0.09275228200322877,0.30743813379926155,0.7833364756899437
post-2020,M2 (augmented),1275,0.09413054055306594,0.3121537582450913,0.7825469585915957
post-2020,M3 (IPW-corrected),1275,0.09446087926437693,0.31385481366735113,0.7731257806792203
pre-2020,M0 (distance only),976,0.11114588534004637,0.35969482741101694,0.7530173695162866
pre-2020,M1 (full GLMM),976,0.11047323432999864,0.3583389181172798,0.7587505839385059
pre-2020,M2 (augmented),976,0.1107172752683554,0.3585383230695433,0.7554975156070837
pre-2020,M3 (IPW-corrected),976,0.11414414704862631,0.3701694344647071,0.7419586359196501
