era2,n_M1 (full GLMM),n_M3 (IPW-corrected),brier_M1 (full GLMM),brier_M3 (IPW-corrected),logloss_M1 (full GLMM),logloss_M3 (IPW-corrected),auc_M1 (full GLMM),auc_M3 (IPW-corrected),d_brier,d_logloss,d_auc,verdict
post-2020,1275,1275,0.09275228200322877,0.09446087926437693,0.30743813379926155,0.31385481366735113,0.7833364756899437,0.7731257806792203,0.0017085972611481648,0.006416679868089581,-0.010210695010723359,M1 better
pre-2020,976,976,0.11047323432999864,0.11414414704862631,0.3583389181172798,0.3701694344647071,0.7587505839385059,0.7419586359196501,0.0036709127186276697,0.011830516347427322,-0.016791948018855862,M1 better
